dataset,outcome,model,seed,n_train,n_validation,n_test,n_features,fit_seconds,predict_seconds,qini_auc_normalized,qini_coefficient,uplift_auc_normalized,auuc,uplift_at_10pct,uplift_at_20pct,ate_test,cate_mean,cate_std,test_events_control,test_events_treated
hillstrom,conversion,dr_learner,2,38400,12800,12800,18,5.342505343956873,0.0204187019262462,0.3161324184009616,0.0006114579602525,0.0053123528742703,0.0032985835237716,0.0117700552483161,0.009768778256653,0.0047924430698149,0.0056954504719091,0.0289375573755749,25,91
hillstrom,conversion,dragonnet,2,38400,12800,12800,18,10.75383039796725,0.0029425000539049,-0.0571636449085805,-0.0001105649521589,-0.0009544965218301,0.0022340897262367,0.0061104127868772,0.004829001367989,0.0047924430698149,0.004997566125894,0.0018619334214239,25,91
hillstrom,conversion,t_learner,3,38400,12800,12800,18,1.3273891189601272,0.0934778080554679,0.0313979997119777,6.0729478352791054e-05,0.000486205034964,0.0024788088465431,0.0102386039886039,0.0073450854700854,0.0047924430698149,0.0055832277891944,0.0466602729893644,25,91
hillstrom,conversion,x_learner,3,38400,12800,12800,18,0.6733518929686397,0.0305766819510608,0.3324419233497074,0.0006430035280217,0.0055793232077647,0.0033439313925599,0.0173681488998697,0.0090685273334055,0.0047924430698149,0.0051006690532846,0.0159613532246819,25,91
hillstrom,conversion,dr_learner,3,38400,12800,12800,18,5.390702871023677,0.0191077359486371,0.1734378582006752,0.0003354605628311,0.0028346328257951,0.0028777153239915,0.0074852817493692,0.0073304045060591,0.0047924430698149,0.0046490936001544,0.0307651698609617,25,91
hillstrom,conversion,dragonnet,3,38400,12800,12800,18,8.8204118499998,0.0028060079785063,0.1747028037891918,0.0003379071991277,0.0030154712283743,0.0029084327300969,0.0102422581635277,0.0064028207615863,0.0047924430698149,0.0047680204526477,0.0013992889904804,25,91
hillstrom,conversion,t_learner,4,38400,12800,12800,18,1.2455440720077604,0.0636261830804869,-0.3409770052713304,-0.0006330616975003,-0.0056188129596794,0.0015584131896447,0.0042391839291306,0.001860465116279,0.0050245049571551,0.0063644825817116,0.0415094736999394,24,91
hillstrom,conversion,x_learner,4,38400,12800,12800,18,0.6060317759402096,0.0187050410313531,-0.0381660490566297,-7.085951084427719e-05,-0.0006716913508294,0.0023982273980036,-0.0021022437566632,0.0063845889232886,0.0050245049571551,0.0053186916851706,0.014881694758262,24,91
hillstrom,conversion,dr_learner,4,38400,12800,12800,18,5.427359831053764,0.0317485280102118,0.0626359184453086,0.0001162905423019,0.0010065192434645,0.0026831173225175,0.0052682206612679,0.0055298099453267,0.0050245049571551,0.0049296231468582,0.0305135119832121,24,91
hillstrom,conversion,dragonnet,4,38400,12800,12800,18,9.483498838962989,0.0045049129985272,-0.1012011632090697,-0.0001878912043325,-0.0016304119463567,0.0022354767640734,0.0064202943939868,0.0067829036045045,0.0050245049571551,0.0051777616768958,0.001816549404526,24,91
lzd,Y,t_learner,0,109114,36363,36192,64,1.829519222024828,0.1301903829444199,-0.0471390074699038,-0.0004010919952573,-0.0029486252998643,0.001429497011795,0.014798685457368,0.0073748902546093,0.0042956392587139,0.0051644853492571,0.0469722051916888,571,710
lzd,Y,x_learner,0,109114,36363,36192,64,1.375821874011308,0.0388919350225478,0.0791567409973018,0.0006735215035011,0.0054744780257263,0.0034814720895071,0.0305499305141949,0.0148853571208061,0.0042956392587139,0.0046500566486312,0.0196042500126142,571,710
